parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75223011,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, fat not added in cooking",2047,"Salt, table",1
75223011,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, fat not added in cooking",11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",165
75223021,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75223021,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75223021,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, fat added in cooking, NS as to type of fat",11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",165
75223027,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with oil",2047,"Salt, table",1
75223027,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with oil",4322,"Vegetable oil, averaged",4.542
75223027,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with oil",11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",165
75223028,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with butter",1001,"Butter, salted",4.729
75223028,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with butter",2047,"Salt, table",1
75223028,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with butter",11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",165
75223029,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with margarine",2047,"Salt, table",1
75223029,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75223029,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75223029,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, made with margarine",11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",165
75224011,"Peas, green, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75224011,"Peas, green, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75224011,"Peas, green, cooked, from fresh, NS as to fat added in cooking",11305,"Peas, green, cooked, boiled, drained, without salt",160
75224045,"Peas, green, cooked, from fresh, made with margarine",2047,"Salt, table",1
75224045,"Peas, green, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75224045,"Peas, green, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75224045,"Peas, green, cooked, from fresh, made with margarine",11305,"Peas, green, cooked, boiled, drained, without salt",160
75225011,"Pigeon peas, cooked, from fresh, fat not added in cooking",2047,"Salt, table",1
75225011,"Pigeon peas, cooked, from fresh, fat not added in cooking",11345,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",153
75225016,"Pigeon peas, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75225016,"Pigeon peas, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75225016,"Pigeon peas, cooked, from fresh, NS as to fat added in cooking",11345,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",153
75225017,"Pigeon peas, cooked, from fresh, fat added in cooking",2047,"Salt, table",1
75225017,"Pigeon peas, cooked, from fresh, fat added in cooking",4323,"Table fat, averaged",4.729
75225017,"Pigeon peas, cooked, from fresh, fat added in cooking",11345,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",153
75226091,"Peppers, hot, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",0.6
75226091,"Peppers, hot, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",3.2
75226091,"Peppers, hot, cooked, from fresh, NS as to fat added in cooking",11670,"Peppers, hot chili, green, raw",100
75226101,"Peppers, hot, cooked, from fresh, fat not added in cooking",2047,"Salt, table",0.6
75226101,"Peppers, hot, cooked, from fresh, fat not added in cooking",11670,"Peppers, hot chili, green, raw",100
75231001,"Snowpea, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75231001,"Snowpea, cooked, from fresh, NS as to fat added in cooking",4322,"Vegetable oil, averaged",4.542
75231001,"Snowpea, cooked, from fresh, NS as to fat added in cooking",11301,"Peas, edible-podded, boiled, drained, without salt",160
75231026,"Snowpea, cooked, from fresh, made with oil",2047,"Salt, table",1
75231026,"Snowpea, cooked, from fresh, made with oil",4322,"Vegetable oil, averaged",4.542
75231026,"Snowpea, cooked, from fresh, made with oil",11301,"Peas, edible-podded, boiled, drained, without salt",160
75231027,"Snowpea, cooked, from fresh, made with butter",1001,"Butter, salted",4.729
75231027,"Snowpea, cooked, from fresh, made with butter",2047,"Salt, table",1
75231027,"Snowpea, cooked, from fresh, made with butter",11301,"Peas, edible-podded, boiled, drained, without salt",160
75231028,"Snowpea, cooked, from fresh, made with margarine",2047,"Salt, table",1
